,age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
34,49.0,technician,2.0,tertiary,1235.0,no,no,354.0,3,-1,unknown,no
38,33.0,management,2.0,secondary,3935.0,yes,no,765.0,1,342,failure,yes
54,41.61746987951807,blue-collar,2.0,secondary,2231.0,yes,no,272.0,3,-1,unknown,no
65,51.0,blue-collar,0.0,secondary,23.0,yes,no,134.0,1,170,failure,no
89,41.61746987951807,blue-collar,2.0,secondary,1831.0,yes,no,203.0,2,-1,unknown,no
90,39.0,blue-collar,2.0,primary,111.0,no,no,201.0,2,-1,unknown,no
94,57.0,blue-collar,2.0,secondary,1493.0,no,no,231.0,5,-1,unknown,no
101,38.0,management,1.0,tertiary,493.0,yes,no,553.0,1,367,failure,yes
103,57.0,services,1.0,primary,3777.0,yes,no,65.0,2,-1,unknown,no
111,58.0,management,2.0,tertiary,1517.0,yes,no,7.0,5,-1,unknown,no
120,31.0,admin.,0.0,secondary,189.0,yes,no,588.0,1,-1,unknown,yes
134,27.0,technician,1.0,secondary,769.0,yes,no,317.0,2,-1,unknown,no
145,41.61746987951807,management,2.0,tertiary,16.0,no,yes,588.0,2,-1,unknown,yes
162,41.0,admin.,1.0,secondary,-256.0,no,yes,35.0,3,-1,unknown,no
168,48.0,technician,2.0,tertiary,31.0,no,no,264.7240200546946,1,-1,unknown,no
188,36.0,technician,2.0,secondary,23.0,yes,no,152.0,2,347,failure,no
193,36.0,services,2.0,secondary,1981.0,no,no,48.0,2,-1,unknown,no
197,38.0,services,2.0,secondary,1.0,no,yes,152.0,2,-1,unknown,no
205,45.0,technician,2.0,tertiary,1136.7502401536983,yes,no,139.0,2,-1,unknown,no
218,49.0,blue-collar,2.0,primary,35.0,yes,yes,834.0,10,-1,unknown,yes
251,32.0,management,2.0,tertiary,2349.0,no,no,134.0,5,-1,unknown,no
259,29.0,blue-collar,2.0,secondary,482.0,no,yes,1097.0,3,-1,unknown,yes
276,41.61746987951807,housemaid,2.0,tertiary,11219.0,no,no,699.0,2,79,failure,yes
294,47.0,management,2.0,tertiary,3681.0,no,no,101.0,2,-1,unknown,no
317,50.0,admin.,2.0,primary,276.0,no,yes,641.0,6,-1,unknown,yes
337,33.0,management,1.0,tertiary,141.0,yes,no,8.0,1,254,failure,no
344,37.0,management,1.0,unknown,54.0,yes,no,555.0,1,-1,unknown,yes
365,23.0,student,1.0,secondary,78.0,no,no,267.0,1,-1,unknown,no
373,51.0,technician,2.0,secondary,-379.0,yes,no,261.0,1,-1,unknown,no
381,39.0,blue-collar,2.0,primary,375.0,yes,no,77.0,1,-1,unknown,no
382,59.0,retired,2.0,tertiary,9676.0,no,no,234.0,2,-1,unknown,no
383,37.0,services,2.0,secondary,1328.0,yes,no,264.7240200546946,2,341,failure,no
394,33.0,blue-collar,2.0,secondary,43.0,yes,no,332.0,2,358,failure,no
411,41.61746987951807,blue-collar,1.0,secondary,186.0,no,no,342.0,1,-1,unknown,no
416,31.0,services,1.0,secondary,27.0,no,no,319.0,2,-1,unknown,no
419,46.0,technician,2.0,secondary,1322.0,yes,yes,514.0,1,-1,unknown,yes
446,31.0,technician,2.0,secondary,2363.0,yes,no,247.0,1,-1,unknown,no
492,41.61746987951807,admin.,2.0,secondary,1796.0,no,no,295.0,1,91,success,no
494,44.0,technician,1.0,secondary,244.0,yes,no,1735.0,4,-1,unknown,yes
502,31.0,management,2.0,tertiary,13.0,no,no,110.0,5,-1,unknown,no
504,41.0,management,2.0,tertiary,3872.0,no,no,231.0,1,-1,unknown,no
505,31.0,unemployed,2.0,secondary,296.0,yes,no,378.0,3,-1,unknown,no
513,48.0,management,0.0,tertiary,18.0,yes,no,89.0,2,-1,unknown,no
515,45.0,unemployed,0.0,primary,757.0,no,no,103.0,1,325,failure,no
522,43.0,admin.,0.0,secondary,738.0,yes,no,585.0,4,191,failure,yes
531,58.0,management,2.0,primary,76.0,yes,no,54.0,4,-1,unknown,no
557,43.0,management,1.0,tertiary,134.0,no,no,501.0,2,-1,unknown,yes
590,45.0,self-employed,2.0,tertiary,334.0,no,no,87.0,2,-1,unknown,no
591,39.0,technician,2.0,secondary,148.0,no,yes,405.0,1,-1,unknown,no
606,28.0,blue-collar,2.0,secondary,12.0,yes,no,251.0,1,-1,unknown,no
613,41.0,self-employed,2.0,tertiary,231.0,no,no,352.0,2,-1,unknown,no
614,39.0,technician,2.0,tertiary,1161.0,yes,no,236.0,1,336,failure,no
624,31.0,self-employed,2.0,tertiary,1134.0,no,no,174.0,2,-1,unknown,no
635,33.0,management,0.0,tertiary,28.0,no,yes,155.0,1,-1,unknown,no
636,41.0,blue-collar,0.0,primary,2195.0,yes,no,211.0,5,-1,unknown,no
641,56.0,unknown,2.0,unknown,1136.7502401536983,no,no,471.0,2,-1,unknown,yes
647,46.0,management,0.0,tertiary,6269.0,yes,no,249.0,3,112,failure,no
655,59.0,retired,2.0,primary,1136.7502401536983,yes,no,104.0,7,-1,unknown,no
673,33.0,management,2.0,tertiary,188.0,yes,no,99.0,4,-1,unknown,no
675,37.0,technician,2.0,secondary,64.0,yes,no,239.0,4,278,other,no
679,44.0,housemaid,2.0,primary,376.0,no,no,209.0,3,-1,unknown,no
684,28.0,services,1.0,secondary,168.0,no,no,347.0,3,140,success,no
694,49.0,management,2.0,tertiary,143.0,no,no,231.0,2,-1,unknown,no
695,51.0,retired,2.0,secondary,35.0,no,yes,123.0,4,-1,unknown,no
706,33.0,technician,1.0,tertiary,123.0,no,no,264.0,1,-1,unknown,no
730,38.0,self-employed,1.0,secondary,1146.0,yes,no,91.0,2,-1,unknown,no
735,30.0,services,1.0,secondary,566.0,no,no,110.0,1,-1,unknown,no
749,43.0,blue-collar,0.0,primary,49.0,yes,no,100.0,1,-1,unknown,no
766,57.0,management,2.0,primary,152.0,yes,no,227.0,4,-1,unknown,no
769,52.0,management,2.0,tertiary,1944.0,yes,no,238.0,3,323,failure,no
795,30.0,management,1.0,tertiary,162.0,yes,no,186.0,4,-1,unknown,no
803,57.0,housemaid,1.0,secondary,254.0,no,no,676.0,1,-1,unknown,yes
813,31.0,management,2.0,secondary,466.0,yes,no,164.0,1,-1,unknown,no
822,40.0,self-employed,2.0,tertiary,13669.0,no,no,138.0,1,136,other,no
830,42.0,management,1.0,tertiary,1136.7502401536983,no,no,99.0,1,-1,unknown,no
831,47.0,blue-collar,2.0,secondary,1996.0,no,no,264.7240200546946,2,-1,unknown,no
837,39.0,services,1.0,secondary,766.0,yes,no,667.0,3,357,other,yes
860,58.0,blue-collar,2.0,primary,39.0,no,no,156.0,2,-1,unknown,no
868,41.61746987951807,technician,2.0,secondary,141.0,yes,no,299.0,2,-1,unknown,no
877,30.0,management,1.0,tertiary,19358.0,no,no,258.0,2,-1,unknown,no
883,45.0,entrepreneur,2.0,primary,58.0,yes,no,119.0,3,371,failure,no
892,27.0,student,1.0,tertiary,5291.0,no,no,192.0,2,92,failure,no
902,58.0,technician,1.0,secondary,49.0,no,yes,643.0,2,-1,unknown,yes
935,46.0,blue-collar,2.0,primary,294.0,no,no,277.0,2,-1,unknown,no
951,55.0,management,2.0,tertiary,979.0,no,yes,123.0,1,-1,unknown,no
967,41.61746987951807,blue-collar,2.0,secondary,6411.0,yes,yes,144.0,1,266,failure,no
977,44.0,self-employed,2.0,tertiary,134.0,no,no,86.0,4,-1,unknown,no
993,31.0,admin.,2.0,secondary,314.0,yes,no,279.0,1,-1,unknown,no
994,59.0,housemaid,2.0,primary,1136.7502401536983,no,no,76.0,11,-1,unknown,no
999,20.0,student,1.0,secondary,291.0,no,no,172.0,5,371,failure,no
1001,31.0,technician,1.0,tertiary,438.0,yes,no,130.0,2,-1,unknown,no
1004,41.61746987951807,blue-collar,2.0,secondary,24.0,yes,yes,229.0,3,-1,unknown,no
1024,36.0,blue-collar,2.0,secondary,2357.0,yes,no,228.0,2,-1,unknown,no
1032,46.0,management,1.0,primary,538.0,no,no,118.0,3,-1,unknown,no
1052,30.0,admin.,2.0,secondary,11.0,yes,no,157.0,1,-1,unknown,no
1066,38.0,technician,2.0,secondary,74.0,no,no,259.0,3,-1,unknown,no
1067,44.0,management,2.0,secondary,8262.0,yes,no,201.0,16,-1,unknown,no
1069,45.0,technician,1.0,unknown,718.0,yes,yes,53.0,1,172,failure,no
1096,46.0,technician,2.0,tertiary,217.0,yes,no,141.0,1,346,other,no
1098,37.0,technician,1.0,secondary,1136.7502401536983,yes,no,69.0,2,-1,unknown,no
1101,28.0,management,2.0,tertiary,148.0,yes,no,143.0,1,-1,unknown,no
1104,37.0,blue-collar,1.0,primary,851.0,yes,no,151.0,1,352,failure,no
1109,59.0,technician,2.0,secondary,1.0,no,no,264.7240200546946,2,378,failure,no
1110,50.0,blue-collar,0.0,primary,-1.0,no,yes,369.0,6,-1,unknown,no
1155,32.0,technician,1.0,tertiary,259.0,no,no,407.0,4,-1,unknown,no
1181,41.61746987951807,services,2.0,secondary,176.0,yes,no,152.0,1,182,success,no
1189,41.61746987951807,technician,1.0,secondary,21.0,no,no,257.0,2,-1,unknown,no
1197,64.0,management,2.0,tertiary,679.0,no,no,135.0,3,-1,unknown,no
1210,60.0,admin.,0.0,secondary,174.0,yes,no,241.0,1,364,failure,no
1211,66.0,admin.,1.0,secondary,1177.0,no,no,272.0,4,-1,unknown,no
1217,44.0,blue-collar,2.0,primary,271.0,yes,yes,94.0,1,-1,unknown,no
1221,30.0,self-employed,2.0,secondary,1772.0,yes,no,158.0,4,-1,unknown,no
1222,27.0,admin.,1.0,secondary,15.0,no,yes,177.0,1,-1,unknown,no
1223,49.0,management,0.0,tertiary,237.0,yes,yes,56.0,1,103,other,no
1224,27.0,services,1.0,secondary,21.0,yes,no,172.0,2,-1,unknown,no
1229,27.0,blue-collar,2.0,primary,-79.0,yes,no,385.0,5,-1,unknown,no
1243,69.0,retired,2.0,primary,579.0,no,no,230.0,1,-1,unknown,no
